funder,count,type,country,established
Joint BioEnergy Institute,3,Facility,United States,2007
Green Alliance,3,Nonprofit,United Kingdom,1979
Iowa Finance Authority,3,Government,United States,1975
Louisiana Department of Education,3,Government,United States,
BASF (United States),3,Company,United States,1865
Burke Museum of Natural History and Culture,3,Archive,United States,1885
Performance Communications,3,Company,United States,1991
Grupo TTT (Spain),3,Company,Spain,1997
Perkins School for Blind,3,Education,United States,1829
Kamprad Family Foundation,3,Other,Sweden,2011
Response Biomedical (Canada),3,Company,Canada,1980
International Water Management Institute,3,Facility,Sri Lanka,1985
Low Gillerthwaite Field Centre,3,Nonprofit,United Kingdom,
Gena,3,Facility,Norway,2005
Grupo de Açãoe Estudos Ambientais,3,Other,Brazil,1989
M.G. Kholodny Institute of Botany,3,Facility,Ukraine,1921
Austin Graduate School of Theology,3,Education,United States,1917
Loughborough University,3,Education,United Kingdom,1909
Gardiner Foundation,3,Nonprofit,Australia,2000
International Research and Development Actions,3,Facility,Kenya,
People's Government of Guangdong Province,3,Government,China,2005
Ressources Ingénierie (Morocco),3,Company,Morocco,
Great Basin College,3,Education,United States,1967
Kanagawa Prefecture Natural Environment Conservation Center,3,Government,Japan,1978
International Trachoma Initiative,3,Nonprofit,Israel,1998
Rhodes College,3,Education,United States,1848
Lund Science (Sweden),3,Company,Sweden,2006
Joseph Brant Hospital,3,Healthcare,Canada,1961
Kaniv Nature Reserve,3,Other,Ukraine,1923
Riau University,3,Education,Indonesia,1962
Luc Hoffmann Institute,3,Facility,Switzerland,2012
Lyndon Fish Hatcheries,3,Company,Canada,2000
Pennsylvania State System of Higher Education,3,Education,United States,1983
Jones Institute,3,Other,United States,1988
Gedeon Programmes (France),3,Company,France,
Kanagawa Archeology Foundation,3,Archive,Japan,2011
Resurrection University,3,Education,United States,1914
Pennsylvania Space Grant Consortium,3,Other,United States,1989
Richards Free Library,3,Archive,United States,1888
Bureau of International Cooperation,3,Other,China,
PeerJ (United States),3,Company,United States,
Loterie Nationale,3,Other,Belgium,1934
Greensboro Science Center,3,Archive,United States,1957
Invigos,3,Education,Sweden,2013
Butler University,3,Education,United States,1855
Investment and Development Agency of Latvia,3,Government,Latvia,1993
Green Capacity,3,Nonprofit,United States,2010
RiNA (Germany),3,Company,Germany,2008
MIB (Germany),3,Company,Germany,1994
International Rehabilitation Forum,3,Nonprofit,United States,
Great Plains College,3,Education,Canada,1973
California Cancer Associates for Research and Excellence,3,Healthcare,United States,
Longview Foundation,3,Other,United States,1966
Research Triangle Park Foundation,3,Nonprofit,United States,1959
Lithuanian Social Research Centre,3,Other,Lithuania,2009
Central Kentucky Research Associates,3,Other,United States,1991
California Coast University,3,Education,United States,1973
Pioneer Pacific College,3,Education,United States,1981
Audubon Nature Institute,3,Archive,United States,1884
Great Bay Stewards,3,Nonprofit,United States,1995
Buskerud County Municipality,3,Government,Norway,1964
Philips (United States),3,Company,United States,1891
Intrinsik (Canada),3,Company,Canada,1985
Loden Foundation,3,Nonprofit,Bhutan,2000
Interoud Innovation (Spain),3,Company,Spain,2011
Pd Ld (United States),3,Company,United States,1993
Reserve Bank of New Zealand,3,Government,New Zealand,1934
Pew Research Center,3,Nonprofit,United States,2004
International Research Universities Network,3,Education,Netherlands,
Paulo Foundation,3,Nonprofit,Portugal,1966
Interuniversity Center for Educational Research,3,Other,Netherlands,
Rio de Janeiro State University,3,Education,Brazil,1950
Lomonosov Moscow State University,3,Education,Russia,1755
Kagoshima Prefectural Institute For Education Research,3,Facility,Japan,1951
Lombardia Informatica (Italy),3,Company,Italy,1981
Phi Gamma Delta,3,Other,United States,1848
Lohmann Tierzucht (Germany),3,Company,Germany,1932
MGT Capital Investments (United Kingdom),3,Company,United Kingdom,2016
Calhoun Conservation District,3,Other,United States,1945
Gembloux Agro-Bio Tech,3,Education,Belgium,1860
RAC Foundation,3,Nonprofit,United Kingdom,1991
Isala,3,Healthcare,Netherlands,1998
Globeride (Japan),3,Company,Japan,1958
Recep Tayyip Erdoğan University,3,Education,Turkey,2006
JGC-S Scholarship Foundation,3,Other,Japan,1968
JHV Engineering,3,Company,Czechia,1999
Laboratory of Integrative Biology of Marine Model,3,Facility,France,2014
Laboratory of Computational and Quantitative Biology,3,Facility,France,2011
Rata Foundation,3,Other,New Zealand,1980
Kinship Conservation Fellows,3,Other,United States,1996
Centre de Recherches Insulaires et Observatoire de l'Environnement,3,Facility,French Polynesia,2010
Laboratoire du Futur,3,Facility,France,2004
German Coastal Engineering Research Council,3,Government,Germany,1973
Pulp and Paper Research Institute,3,Company,Slovakia,1949
Global Policy Institute,3,Nonprofit,United States,2015
Punjab State Council for Science & Technology,3,Government,India,
Jackson College,3,Education,United States,1928
Centre de Recherche en Sciences Animales de Deschambault,3,Facility,Canada,1999
Ranger College,3,Education,United States,1926
Global Virus Network,3,Other,United States,2011
Rancho Research Institute,3,Nonprofit,United States,1956
Purdue University Northwest,3,Education,United States,2016
Pusan National University,3,Education,South Korea,1946
Global Social Observatory,3,Other,Switzerland,2004
Putnam Museum,3,Archive,United States,1867
Laboratory of Molecular Genetics,3,Facility,Poland,1992
Jiangsu University of Technology,3,Education,China,1984
Gerda Henkel Foundation,3,Nonprofit,Germany,1976
Puerto Rico Department of Education,3,Government,United States,1900
ProterixBio (United States),3,Company,United States,2002
Geoscience Australia,3,Government,Australia,2001
Red de Laboratorios de Alertas Biológicas,3,Facility,Spain,2009
Gold Coast City Council,3,Government,Australia,1948
Goiás State University,3,Education,Brazil,1999
Goizueta Foundation,3,Nonprofit,United States,1992
Lafer (Italy),3,Company,Italy,1986
King Khalid University,3,Education,Saudi Arabia,1998
Provita,3,Nonprofit,Venezuela,1987
Goethe Institute,3,Nonprofit,United Kingdom,1951
Public Entity Risk Institute,3,Nonprofit,United States,1997
Cambridge Environmental Research Consultants (United Kingdom),3,Company,United Kingdom,1985
Labyrinth Musical Workshop,3,Education,Greece,1982
Public Utilities Board,3,Government,Singapore,1961
Public Works and Government Services Canada,3,Government,Canada,1996
Pueblo Community College,3,Education,United States,1933
Red de Investigación en Actividades Preventivas y Promoción de la Salud,3,Facility,Spain,2003
Gepco (Brazil),3,Company,Brazil,
Geraldine R. Dodge Foundation,3,Nonprofit,United States,1974
Red De Fundaciones Universidad Empresa,3,Education,Spain,
Glycemic Index Laboratories,3,Facility,Canada,
CIC nanoGUNE,3,Nonprofit,Spain,2006
Global Network of People Living with HIV/AIDS,3,Nonprofit,Netherlands,1983
Research England,3,Government,United Kingdom,2018
Krasnodar Research Institute of Fishery,3,Facility,Russia,1960
Kola Science Centre,3,Facility,Russia,1930
"California State University, Bakersfield",3,Education,United States,1965
Jenner Institute,3,Facility,United Kingdom,2005
Kristina Colloredo-Mansfeldová,3,Other,Czechia,
Quebec Society for the Protection of Plants,3,Other,Canada,1908
RKDF University,3,Education,India,2012
Jenderal Soedirman University,3,Education,Indonesia,1963
RFF-CMCC European Institute on Economics and the Environment,3,Nonprofit,Italy,2018
Queen Mary University of London,3,Education,United Kingdom,1785
Korea Brain Research Institute,3,Facility,South Korea,2011
"Queens College, CUNY",3,Education,United States,1937
CIM-mes Project (Poland),3,Company,Poland,1987
Gift of Life Foundation,3,Nonprofit,United States,
Jeddah University,3,Education,Saudi Arabia,1435
Giresun University,3,Education,Turkey,2006
REN (Norway),3,Company,Norway,1998
Giorgio Cini Foundation,3,Other,Italy,1949
Giner (United States),3,Company,United States,1973
CMC Research Institutes,3,Nonprofit,Canada,2009
Jasper County Public Library,3,Government,United States,1855
Korea Occupational Safety and Health Agency,3,Other,South Korea,1987
Korea Meteorological Institute,3,Nonprofit,South Korea,2005
Gettysburg College,3,Education,United States,1832
Centre de Génétique Moléculaire,3,Facility,France,1958
Australian Rural Leadership Foundation,3,Nonprofit,Australia,1992
Global Alliance for Livestock Veterinary Medicines,3,Nonprofit,United Kingdom,2004
QIMR Berghofer Medical Research Institute,3,Facility,Australia,1945
"LIttoral, ENvironment and Societies",3,Facility,France,2012
LGBT Foundation,3,Nonprofit,United Kingdom,2000
Cambridge City Council,3,Government,United Kingdom,1999
Rajiv Gandhi Charitable Trust,3,Nonprofit,India,2002
LEV Foundation,3,Nonprofit,United States,
"Global Fund to Fight AIDS, Tuberculosis and Malaria",3,Nonprofit,Switzerland,2002
Australian Women and Children's Research Foundation,3,Other,Australia,1998
Australian Urban Research Infrastructure Network,3,Facility,Australia,2010
James Cook University Singapore,3,Education,Singapore,2003
Kōkua Mau,3,Nonprofit,United States,1999
Körber Foundation,3,Nonprofit,Germany,1959
James Martin Center for Nonproliferation Studies,3,Facility,United States,1989
James River Association,3,Other,United States,1976
California Polytechnic State University,3,Education,United States,1901
Jiangsu Provincial Academy of Building Research (China),3,Company,China,1958
CNI College,3,Education,United States,1994
California Rice Research Board,3,Facility,United States,
Kuwait Foundation for the Advancement of Sciences,3,Nonprofit,Kuwait,1976
Kurchatov Institute,3,Facility,Russia,1943
CMR University,3,Education,India,2013
Prospex Institute,3,Nonprofit,Belgium,
Kimberly-Clark (United States),3,Company,United States,1872
Lake Forest Academy,3,Education,United States,1857
Regional Medical Research Centre,3,Facility,Australia,1982
Lawrenceville Plasma Physics (United States),3,Company,United States,1974
Portuguese Air Transportations (Portugal),3,Company,Portugal,1946
Australian Egg Corporation (Australia),3,Company,Australia,2002
"Central Research Institute"" Dolphin """,3,Facility,Russia,2011
Regional Plan Association,3,Nonprofit,United States,1922
Israel Academy of Sciences and Humanities,3,Government,Israel,1961
Poultry Research Institute,3,Facility,China,1959
Povolzhsky Research Institute of Ecological and Meliorative Technologies,3,Facility,Russia,1969
Prairie Gold (United States),3,Company,United States,2006
Cambridge Science Centre,3,Archive,United Kingdom,2013
Kenya Community Development Foundation,3,Nonprofit,Kenya,1997
Prospectors & Developers Association of Canada,3,Other,Canada,1932
Regional Environmental Council,3,Nonprofit,United States,1971
CREATe Centre,3,Facility,United Kingdom,
Laura Moore Cunningham Foundation,3,Other,United States,1963
"Latvian Environment, Geology and Meteorology Centre (Latvia)",3,Company,Latvia,2005
Pratham,3,Nonprofit,India,1994
George Fox University,3,Education,United States,1885
Central Veterinary Research Laboratory,3,Facility,United Arab Emirates,1985
Israel Water Authority,3,Government,Israel,2007
CRE Group (United States),3,Company,United States,2007
Precifica Preço Inteligente (Brazil),3,Company,Brazil,2012
Regione Campania,3,Government,Italy,2004
Portugal Telecom (Portugal),3,Company,Portugal,1994
Governo Italiano,3,Government,Italy,
Port Authority of New York and New Jersey,3,Government,United States,1921
CSIRO Publishing,3,Other,Australia,1995
Leibniz Institute for Financial Research SAFE,3,Facility,Germany,2013
Grand Challenges Canada,3,Government,Canada,2010
Australian Bureau of Statistics,3,Government,Australia,1905
Leibniz Centre for Tropical Marine Research,3,Facility,Germany,1991
Leibniz Centre for Agricultural Landscape Research,3,Facility,Germany,1920
Graham Foundation,3,Other,United States,1956
Kellogg’s Research Labs (United States),3,Company,United States,2014
Leeds Beckett University,3,Education,United Kingdom,1992
John E. Fetzer Memorial Trust,3,Nonprofit,United States,2010
Kenai Peninsula Borough,3,Government,United States,1964
